model,date,position,executed_position,strategy_return,equity,drawdown
logistic_regression,2025/01/02,1.0,1.0,-0.007880216321815792,99211.97836781842,0.0
logistic_regression,2025/01/03,1.0,1.0,-0.047828311462035256,94466.83696567769,-0.047828311462035256
logistic_regression,2025/01/06,1.0,1.0,-0.006965038296092518,93808.87182850101,-0.05446022373715731
logistic_regression,2025/01/07,1.0,1.0,0.03666059264155752,97247.96066476977,-0.019796175173195873
logistic_regression,2025/01/08,1.0,1.0,-0.0023530938670022206,97019.12708495103,-0.022102686781807823
logistic_regression,2025/01/09,1.0,1.0,0.005732579547672145,97575.29694861123,-0.016496812644329673
logistic_regression,2025/01/10,1.0,1.0,-0.03154771947584489,94497.01885270418,-0.04752409530262569
logistic_regression,2025/01/13,1.0,1.0,0.009250844219383714,95371.1960533067,-0.038712889085553814
logistic_regression,2025/01/14,1.0,1.0,0.05471148230514955,100589.09555859814,0.0
logistic_regression,2025/01/15,1.0,1.0,0.0002536797198067209,100614.61297217506,0.0
logistic_regression,2025/01/16,1.0,1.0,0.009460126480445696,101566.43993667293,0.0
logistic_regression,2025/01/17,1.0,1.0,-0.005173354657099671,101041.00072162152,-0.005173354657099671
logistic_regression,2025/01/20,1.0,1.0,0.017091603281457424,102767.95342111694,0.0
logistic_regression,2025/01/21,1.0,1.0,-0.011275013683268997,101609.24334009229,-0.011275013683268997
logistic_regression,2025/01/22,1.0,1.0,-0.010860818422885998,100505.6837980887,-0.022013376229825465
logistic_regression,2025/01/23,1.0,1.0,0.002743652743652847,100781.43649319404,-0.019330120546262708
logistic_regression,2025/01/24,1.0,1.0,0.009125930765984558,101701.1609051274,-0.010380595122081449
logistic_regression,2025/01/27,1.0,1.0,-0.0007581132961200776,101624.05990281438,-0.011130838751017835
logistic_regression,2025/02/05,1.0,1.0,0.022339460440201186,103894.28656878594,0.0
logistic_regression,2025/02/06,1.0,1.0,0.014908226594480434,105443.1661348253,0.0
logistic_regression,2025/02/07,1.0,1.0,0.010726134870347126,106574.16375594384,0.0
logistic_regression,2025/02/10,1.0,1.0,0.025838209965063363,109327.84937592097,0.0
logistic_regression,2025/02/11,1.0,1.0,-0.0015334305426236705,109160.20271252858,-0.0015334305426235595
logistic_regression,2025/02/12,1.0,1.0,0.004069454708150566,109604.42521339975,0.0
logistic_regression,2025/02/13,1.0,1.0,-0.01274968019406153,108207.00384407496,-0.012749680194061641
logistic_regression,2025/02/14,1.0,1.0,0.0013591366439467123,108354.07194813111,-0.011407872107665362
logistic_regression,2025/02/17,1.0,1.0,0.025760691205964026,111145.34773649574,0.0
logistic_regression,2025/02/18,1.0,1.0,-0.024294146544977857,108445.16637079278,-0.024294146544977857
logistic_regression,2025/02/19,1.0,1.0,0.02056998856379466,110675.8822028388,-0.0042238882977806425
logistic_regression,2025/02/20,1.0,1.0,0.012465106131900106,112055.46882073884,0.0
logistic_regression,2025/02/21,1.0,1.0,-0.0032811451686362014,111687.7985605984,-0.0032811451686363124
logistic_regression,2025/02/24,1.0,1.0,0.012104045163541022,113039.67271859237,0.0
logistic_regression,2025/02/25,1.0,1.0,-0.00353171626846871,112640.44866746974,-0.00353171626846871
logistic_regression,2025/02/26,1.0,1.0,0.014554498375255243,114279.87389458844,0.0
logistic_regression,2025/02/27,1.0,1.0,-0.0016638615513528965,114089.72800632178,-0.0016638615513528965
logistic_regression,2025/02/28,1.0,1.0,-0.025689741419116396,111158.79239526205,-0.02731085879745787
logistic_regression,2025/03/03,1.0,1.0,0.0067978851024126374,111914.43709408799,-0.02069862977519843
logistic_regression,2025/03/04,1.0,1.0,0.016752476218495627,113789.28104001303,-0.004292906859767243
logistic_regression,2025/03/05,1.0,1.0,-0.004031703853026092,113330.51635721094,-0.008307302983665998
logistic_regression,2025/03/06,1.0,1.0,0.016790100740604608,115233.34714383325,0.0
logistic_regression,2025/03/07,0.7666666666666669,1.0,-0.004631217021925038,114699.67650504733,-0.004631217021925038
logistic_regression,2025/03/10,0.5333333333333335,0.7666666666666669,0.011774246407563124,116050.17875908554,0.0
logistic_regression,2025/03/11,0.3,0.5333333333333335,0.003579839997235606,116465.61983069366,0.0
logistic_regression,2025/03/12,0.3,0.3,0.0014996489585771043,116640.27737618278,0.0
logistic_regression,2025/03/13,0.3,0.3,-0.0021481664322506645,116389.71464767487,-0.0021481664322505756
logistic_regression,2025/03/14,0.3287236030629977,0.3,0.0059611456019664335,117083.53068326098,0.0
logistic_regression,2025/03/17,0.3303222860637631,0.3287236030629977,0.00339131133869922,117480.59738844205,0.0
logistic_regression,2025/03/18,0.33032228606376307,0.3303222860637631,0.0028459271116236004,117814.93860563956,0.0
logistic_regression,2025/03/19,0.3015986830007656,0.33032228606376307,-0.0015587850711330099,117631.29043818463,-0.0015587850711330509
logistic_regression,2025/03/20,0.3,0.3015986830007656,0.0011694298080358217,117768.85197558075,-0.0003911781528238567
logistic_regression,2025/03/21,0.3,0.3,-0.0038340000406574815,117317.3261923182,-0.0042236784164274566
logistic_regression,2025/03/24,0.5333333333333335,0.3,-0.011847208081177828,115927.4434173904,-0.0160208477005378
logistic_regression,2025/03/25,0.7666666666666669,0.5333333333333335,-0.0012145321438922594,115786.64581100074,-0.017215922009925277
logistic_regression,2025/03/26,1.0,0.7666666666666669,0.01828765656994921,117904.11222497867,0.0
logistic_regression,2025/03/27,1.0,1.0,-0.007051581009234198,117072.70182630241,-0.007051581009234087
logistic_regression,2025/03/28,1.0,1.0,-0.022324196366505622,114459.14784157467,-0.02921835649659532
logistic_regression,2025/03/31,1.0,1.0,-0.012521918762460671,113025.899690682,-0.04137440537263293
logistic_regression,2025/04/01,1.0,1.0,0.020953692194299434,115394.2096027843,-0.021287659733233877
logistic_regression,2025/04/02,0.8562841319623704,1.0,0.004167153112498934,115875.07494249489,-0.017209215558250168
logistic_regression,2025/04/03,0.8555931515497007,0.8562841319623704,0.000755795798153959,115962.65283724721,-0.016466426412904633
logistic_regression,2025/04/07,0.8555931515497007,0.8555931515497007,-0.11197927683036708,102977.23883320134,-0.12660180472157434
logistic_regression,2025/04/08,0.9993090195873306,0.8555931515497007,0.008256679395954066,103827.48887932766,-0.11939043583815556
logistic_regression,2025/04/09,1.0,0.9993090195873306,0.0344503672697932,107404.38400392087,-0.08905311293148743
logistic_regression,2025/04/10,1.0,1.0,0.03594204563853731,111264.7172755688,-0.05631181834218746
logistic_regression,2025/04/11,1.0,1.0,0.007469402674666226,112095.79825238291,-0.04926303131406162
logistic_regression,2025/04/14,1.0,1.0,0.02688365761870437,115109.34331309535,-0.023703744162463902
logistic_regression,2025/04/15,1.0,1.0,0.007207742840991127,115939.0218582915,-0.016666851813764483
logistic_regression,2025/04/16,1.0,1.0,-0.01993468005322363,113627.81455186274,-0.03626928350858627
logistic_regression,2025/04/17,1.0,1.0,0.012542272469205917,115052.96556205262,-0.024181910275407836
logistic_regression,2025/04/18,1.0,1.0,-0.0010824225787497976,114928.42963437612,-0.025238157808478268
logistic_regression,2025/04/21,1.0,1.0,0.013156899257346533,116440.53140488066,-0.012413314450858803
