model,panel,feature_count,features,validation_method,policy_selection,selection_rule,return_weight,sharpe_weight,train_label_start,train_label_end,train_target_end,test_label_start,test_label_end,test_target_end,investment_start,investment_end,trading_days,selected_mapping_type,selected_policy_params,valid_score,valid_min_score,valid_mean_score,valid_mean_return,valid_return_std,valid_mean_sharpe,valid_worst_drawdown,valid_2022_accuracy,valid_2022_auc,valid_2023_accuracy,valid_2023_auc,valid_2024_accuracy,valid_2024_auc,test_accuracy,test_auc,buy_hold_cumulative_return,excess_return_vs_buy_hold,cumulative_return,annualized_return,max_drawdown,sharpe
logistic_regression,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,mean_return_minus_quarter_std,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,power,"{""lower_prob"":0.5,""mapping_type"":""power"",""max_position"":1.0,""min_position"":0.3,""power"":1.5,""smoothing_method"":""sma"",""smoothing_window"":3,""upper_prob"":0.55}",0.2462659572069705,0.9115247072378463,1.4877478830214923,0.2572538991192768,0.043951767649225246,1.590172309181587,-0.4469727677067191,0.5189873417721519,0.5319548872180451,0.5063291139240507,0.6266746951678458,0.5485232067510548,0.6072351421188631,0.680379746835443,0.6226222826086956,1.0921233506284724,-0.10410659372202513,0.9880167569064473,0.7150377224150879,-0.14837909113046566,2.284632772798739
random_forest,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,mean_return_minus_quarter_std,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,rank_linear,"{""lower_rank"":0.15,""mapping_type"":""rank_linear"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":3,""upper_rank"":0.55}",0.2275079384575441,1.1070532748160902,1.2932971585215938,0.24463260081177082,0.06849864941690689,1.8008571455452158,-0.43732969805545574,0.5527426160337553,0.6177703875072296,0.42616033755274263,0.7130814391088364,0.569620253164557,0.5986936548952053,0.6455696202531646,0.6447010869565216,1.0921233506284724,0.016843993502503096,1.1089673441309755,0.796428678770783,-0.10792656120039179,2.926542398570263
gradient_boosting,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,mean_return_minus_quarter_std,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,threshold,"{""mapping_type"":""threshold"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":3,""threshold"":0.5}",0.27709719753054113,0.8301628379228899,1.4026402733393883,0.2948541771807782,0.07102791860094841,1.2595914587891601,-0.4311942802776114,0.569620253164557,0.5060367264314632,0.6033755274261603,0.4894249586030408,0.5654008438818565,0.5329457364341086,0.6329113924050633,0.6250727872670807,1.0921233506284724,-0.09428534956135115,0.9978380010671213,0.7216856374343379,-0.12281505195804898,2.5509912395066565
hist_gradient_boosting,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,mean_return_minus_quarter_std,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,sigmoid,"{""center_prob"":0.4,""mapping_type"":""sigmoid"",""max_position"":1.0,""min_position"":0.3,""sharpness"":6.0,""smoothing_method"":""sma"",""smoothing_window"":5}",0.16930638552817434,0.7826837789771577,0.9537434091200195,0.1873405805291033,0.0721367800037158,1.2842892683795757,-0.4376146194356446,0.5611814345991561,0.496818970503181,0.4219409282700422,0.5849013999698931,0.5611814345991561,0.5562015503875969,0.6518987341772152,0.6430512422360248,1.0921233506284724,-0.12034904234080801,0.9717743082876644,0.7040278293580899,-0.14757971767123734,2.3839387517060735
lightgbm,Panel B,20,"volatility5, volatility20_rank, rebound_from_60d_low, volatility20, macd_histogram, bb_width, trend_strength60, macd_signal, ma60, rebound_from_20d_low, bb_lower, ma60_slope, ma10, ma20_slope, close_vs_ma60, ma5, bb_upper, trend_strength20, momentum20, volume_zscore20",rolling_folds_2022_2024,mean_return_minus_quarter_std,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",0.5,0.5,2017/06/01,2023/12/22,2023/12/29,2025/01/02,2026/04/24,2026/05/06,2025/01/01,2026/05/06,321,rank_linear,"{""lower_rank"":0.1,""mapping_type"":""rank_linear"",""max_position"":1.0,""min_position"":0.3,""smoothing_method"":""sma"",""smoothing_window"":1,""upper_rank"":0.55}",0.19155762687034025,0.9556439471783189,1.0053484633109797,0.22729693367268275,0.14295722720937,1.477801157069239,-0.45188019801826484,0.5780590717299579,0.5639097744360901,0.4388185654008439,0.6269004967635105,0.540084388185654,0.5638099339649727,0.6582278481012658,0.6530473602484472,1.0921233506284724,0.0600788539847259,1.1522022046131983,0.8252769385759917,-0.1349071087023379,2.655397919374716
