row_order,ablation_row,experiment,model,position_rule,uses_relative_signal_stabilizer,uses_trend_position_guard,policy_selection,selected_mapping_type,selected_policy_params,valid_score,valid_mean_return,valid_return_std,test_accuracy,test_auc,buy_hold_cumulative_return,excess_return_vs_buy_hold,cumulative_return,annualized_return,max_drawdown,sharpe,model_params,validation_method,selection_rule,valid_mean_sharpe,valid_worst_drawdown,test_return_score,test_sharpe_score,test_selection_score,mean_position,turnover,full_position_days,zero_position_days
1,buy_hold,Buy-and-hold reference,none,constant_full_position,False,False,not_applicable,constant,{},,,,,,1.0921233506284724,0.0,1.0921233506284724,0.785155288384118,-0.17260282010543804,2.2975480512881368,,,,,,,,,,,,
2,best_ml_baseline,Best ML baseline reference,lightgbm,Panel B rank_linear,False,False,selected_in_panel_b,rank_linear,"{""lower_rank"":0.1,""mapping_type"":""rank_linear"",""max_position"":1.0,""min_position"":0.3,""smoothing_method"":""sma"",""smoothing_window"":1,""upper_rank"":0.55}",0.1915576268703402,0.2272969336726827,0.14295722720937,0.6582278481012658,0.6530473602484472,1.0921233506284724,0.0600788539847259,1.1522022046131983,0.8252769385759917,-0.1349071087023379,2.655397919374716,,,,,,,,,,,,
3,hgb_standard_policy,HGB + standard policy,stable_hgb,rank_linear,False,False,selected_from_panel_b_standard_grid,rank_linear,"{""lower_rank"":0.1,""mapping_type"":""rank_linear"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":5,""upper_rank"":0.55}",0.21816958635426287,0.23011874797715967,0.047796646491587214,0.6392405063291139,0.6348990683229814,1.0921233506284724,-0.12731027721366917,0.9648130734148033,0.6993032160537809,-0.12345125434510029,2.614494379582355,"{""learning_rate"":0.05,""max_iter"":150,""max_leaf_nodes"":15,""min_samples_leaf"":70,""random_state"":42}",rolling_folds_2022_2024,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",1.4702537973620997,-0.42635688294319185,0.8834286647745355,1.1379498148543705,1.010689239814453,0.7566338880925181,13.955351471938581,74.0,0.0
4,hgb_standard_policy_with_trend_position_guard,HGB + standard policy + Trend Position Guard,stable_hgb,rank_linear + Trend Position Guard,False,True,selected_from_panel_b_standard_grid_then_trend_guard_added,rank_linear,"{""lower_rank"":0.1,""mapping_type"":""rank_linear"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":5,""trend_guard_feature"":""ma_alignment"",""trend_guard_min_position"":1.0,""trend_guard_threshold"":0.5,""upper_rank"":0.55}",0.22502670502803102,0.2517607724450759,0.10693626966817948,0.6392405063291139,0.6348990683229814,1.0921233506284724,0.04267841343834933,1.1348017640668218,0.8136816943486387,-0.1381342076561668,2.6070808563984254,"{""learning_rate"":0.05,""max_iter"":150,""max_leaf_nodes"":15,""min_samples_leaf"":70,""random_state"":42}",rolling_folds_2022_2024,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",1.294398435407617,-0.4427590074998353,1.039078381955472,1.1347231040224586,1.0869007429889654,0.9567288511773637,7.108862869267987,242.0,0.0
5,hgb_relative_signal_stabilizer_without_trend_position_guard,HGB + Relative Signal Stabilizer,stable_hgb,Relative Signal Stabilizer,True,False,stable_hgb_policy_without_trend_position_guard,relative_signal_stabilizer,"{""confirm_days"":2,""entry_rank"":0.525,""exit_gap"":0.05,""exit_rank"":0.475,""mapping_type"":""relative_signal_stabilizer"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":1}",0.20807447626216524,0.274797665237198,0.26689275590013106,0.6392405063291139,0.6348990683229814,1.0921233506284724,0.0826665811625773,1.1747899317910497,0.8402988658412147,-0.07518462213377886,3.549083129967499,"{""learning_rate"":0.05,""max_iter"":150,""max_leaf_nodes"":15,""min_samples_leaf"":70,""random_state"":42}",rolling_folds_2022_2024,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",0.8967595752969423,-0.40840792217717403,1.0756934471870838,1.5447263999452285,1.3102099235661562,0.5046728971962616,24.0,162.0,159.0
6,stable_hgb,StableHGB,stable_hgb,Relative Signal Stabilizer + Trend Position Guard,True,True,stable_hgb,relative_signal_stabilizer,"{""confirm_days"":2,""entry_rank"":0.525,""exit_gap"":0.05,""exit_rank"":0.475,""mapping_type"":""relative_signal_stabilizer"",""max_position"":1.0,""min_position"":0.0,""smoothing_method"":""sma"",""smoothing_window"":1,""trend_guard_feature"":""ma_alignment"",""trend_guard_min_position"":1.0,""trend_guard_threshold"":0.5}",0.2998033108348839,0.3340977891678314,0.13717791333179005,0.6392405063291139,0.6348990683229814,1.0921233506284724,0.42817250482044944,1.5202958554489219,1.0661326787788732,-0.09837056507254949,3.378395815378925,"{""learning_rate"":0.05,""max_iter"":150,""max_leaf_nodes"":15,""min_samples_leaf"":70,""random_state"":42}",rolling_folds_2022_2024,"maximize mean(valid_cumulative_return) - 0.25 * std(valid_cumulative_return); tie break by mean valid return, mean selection score, mean Sharpe, and worst drawdown",1.3124121012986862,-0.4084079221771739,1.3920550774544411,1.470435324947743,1.431245201201092,0.9065420560747663,16.0,291.0,30.0
