model,feature_group,feature_count,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,lower_prob,upper_prob,min_position,max_position,smoothing_window,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,lower_rank,upper_rank,center_prob,sharpness,excess_return_vs_buy_hold
logistic_regression,composite,28,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,0.5,0.5,0.0,1.0,3,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,,,,,0.0806841641949565
random_forest,momentum,20,weighted_valid_return_sharpe,0.5,0.5,2.318786920532749,2.8821916465995505,1.7553821944659473,linear_clipped,0.5,0.55,0.0,1.0,5,0.5578512396694215,0.6708860759493671,0.5842766001234823,0.639557453416149,0.26881377077373614,-0.41818290055989904,0.7667539748337902,0.8892901263159592,0.6608845058686212,-0.11948588270015159,2.5295597623337676,,,,,-0.10347993978056791
gradient_boosting,composite,28,weighted_valid_return_sharpe,0.5,0.5,1.8188624418961612,2.1604101835613823,1.47731470023094,linear_clipped,0.5,0.55,0.0,1.0,5,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.20149527827071778,-0.4249561112255924,0.6452936130112014,0.8754688544376739,0.6511877869195555,-0.13475047976254018,2.5103321781655175,,,,,-0.11730121165885321
hist_gradient_boosting,composite,28,weighted_valid_return_sharpe,0.5,0.5,1.8364446718824448,2.0861888893182985,1.586700454446591,rank_linear,,,0.0,1.0,3,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.19457287045625837,-0.40840792215679833,0.6930734994082828,0.6818713360424886,0.5137793895907541,-0.03218332417731118,3.5706009653832105,0.4,0.8,,,-0.31089873005403845
lightgbm,composite,28,weighted_valid_return_sharpe,0.5,0.5,1.3322162660489034,1.467050752215726,1.197381779882081,linear_clipped,0.5,0.65,0.0,1.0,5,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.13682762736642817,-0.41138206817560785,0.5230184298396985,0.8599531960298739,0.6402850589699656,-0.12799888591944286,2.453287652706081,,,,,-0.13281687006665321
lstm,composite,28,weighted_valid_return_sharpe,0.5,0.5,1.0098704026307166,1.0197408166554418,0.9999999886059916,sigmoid,,,0.5,1.0,5,0.5330578512396694,0.7088607594936709,0.49608973039720106,0.4860248447204969,0.09510830914399793,-0.4192085945128061,0.4368017224480644,0.8472871880930424,0.6313710978419762,-0.15298653446086463,2.1782221575939045,,,0.5,16.0,-0.1454828780034847
