feature,importance
volatility5,0.07186296303287233
volatility20_rank,0.0627054784338705
macd_histogram,0.06032068252837779
volatility20,0.05619606339399083
rebound_from_60d_low,0.054670260188686065
ma60,0.053156944228158406
bb_width,0.052320257368373015
macd_signal,0.0520611877169551
close_vs_ma60,0.050192706903235386
bb_lower,0.050135831213718896
rebound_from_20d_low,0.048928646727537335
trend_strength60,0.04803684470760928
bb_upper,0.047807570768417226
ma60_slope,0.04547260488135165
ma10,0.04461341985093304
ma5,0.04413006351743411
momentum20,0.043327592456240384
ma20_slope,0.040899714155191044
volume_zscore20,0.03831050781892239
trend_strength20,0.03485066010812522
